Name,Sector,Voltage Ratio (kV/kV),Executive Agency,Capacity (MW/MVA),Month Of Completion,Year Of Completion (FY)
Sohawal Ayodhya (Aug) T/F-II (160-100),State,220/132,UPPTCL,60.0,APR-19,2019-20
Sikandrabad Bulandshahr (Aug) (Additional T/F),State,220/132,UPPTCL,160.0,APR-19,2019-20
Pali S/s,State,220/66,HVPNL,160.0,APR-19,2019-20
A-5 Faridabad S/s,State,220/66,HVPNL,60.0,APR-19,2019-20
Khurja Bulandshahr (Aug) T/F- II (200-160),State,220/132,UPPTCL,40.0,APR-19,2019-20
Gajokhar Varanasi (Aug) T/F- II (160-100),State,220/132,UPPTCL,60.0,APR-19,2019-20
Amethi S/s,State,220/132,UPPTCL,160.0,APR-19,2019-20
Rentachintala S/s Aug.(3X100-2x100),State,220/132,APTRANSCO,100.0,APR-19,2019-20
Gola Gorakhpur (New),State,220/132,UPPTCL,160.0,APR-19,2019-20
Prathipadu S/S,State,220/132,APTRANSCO,100.0,APR-19,2019-20
R.C. Green G.B. Nagar (Aug.) T/F-II (160-100),State,220/132,UPPTCL,60.0,APR-19,2019-20
Kharepatan S/S,State,220/33,MSETCL,25.0,APR-19,2019-20
Alawalpur s/s,State,220/66,PSTCL,100.0,MAY-19,2019-20
Jaunpur (Aug.) (Additional T/F),State,220/132,UPPTCL,160.0,MAY-19,2019-20
Hathras (Aug.)T/-I(200-160),State,220/132,UPPTCL,40.0,MAY-19,2019-20
Chinhat Lucknow (Aug.) T/F-II (200-160),State,220/132,UPPTCL,40.0,MAY-19,2019-20
Sector- 95 Gurgaon,State,220/33,HVPNL,100.0,MAY-19,2019-20
Laukahi (Supaul new),State,220/132/33,BSPTCL,320.0,MAY-19,2019-20
Waghodia Aug.,State,220/66,GETCO,110.0,JUN-19,2019-20
Savarkundla Aug.,State,220/66,GETCO,60.0,JUN-19,2019-20
New Haldia NIZ GIS,State,220/132,WBSETCL,160.0,JUN-19,2019-20
Shatabdinnagar Meerut (Aug.) Addl T/F,State,220/132,UPPTCL,160.0,JUN-19,2019-20
Achhalia S/s,State,220/66,GETCO,160.0,JUN-19,2019-20
Etah (Aug.) T/F-II (160-100),State,220/132,UPPTCL,60.0,JUN-19,2019-20
C.B. Ganj Bareiilley (Aug.) T/F-I (200-160),State,220/132,UPPTCL,40.0,JUN-19,2019-20
Baraut Baghpat (Aug.) Addl T/F,State,220/132,UPPTCL,160.0,JUN-19,2019-20
Aska S/S,State,220/132,OPTCL,320.0,JUN-19,2019-20
Rampur (Aug.) Addl T/F,State,220/132,UPPTCL,100.0,JUN-19,2019-20
Dahi Choki Unnao (New) T/F-I,State,220/33,UPPTCL,60.0,JUN-19,2019-20
Botanical Garden Sec-38a Noida (New) T/F-I,State,220/33,UPPTCL,60.0,JUN-19,2019-20
Neebkarori Farrukhabad (Aug. T/F-I (160-100),State,220/132,UPPTCL,60.0,JUN-19,2019-20
Rajkot (Nyara) Aug.,State,220/132,GETCO,50.0,JUN-19,2019-20
Dohna Bareilly (Aug.) T/F-II (160-100),State,220/132,UPPTCL,60.0,JUL-19,2019-20
Gazol GIS,State,220/132,WBSETCL,320.0,JUL-19,2019-20
Raja ka Talab S/S (Varanasi),State,220/132,UPPTCL,160.0,JUL-19,2019-20
Jansath Muzaffarnagar (Aug.) T/F-I (160-100),State,220/132,UPPTCL,60.0,JUL-19,2019-20
Faridnagar Ghaziabad (Aug.) Addl T/F,State,220/132,UPPTCL,160.0,JUL-19,2019-20
Jaypatna S/S,State,220/132,OPTCL,160.0,JUL-19,2019-20
Kashipur S/S,State,220/33,OPTCL,20.0,JUL-19,2019-20
Motigop T/F-I,State,220/66,GETCO,160.0,JUL-19,2019-20
Koramangala,State,220/66,KPTCL,300.0,JUL-19,2019-20
Shivanasamudra (Hebbani Village limits),State,220/66,KPTCL,200.0,JUL-19,2019-20
Malkapur (New s/s) ICT-I,State,220/132,MSETCL,100.0,AUG-19,2019-20
Bachhrawan Rae Bareli (New) T/F-II,State,220/132,UPPTCL,160.0,AUG-19,2019-20
Fatehpur (Aug) T/F-II (200-160),State,220/132,UPPTCL,40.0,AUG-19,2019-20
Partapur (Jagriti Vihar) Meerut (New) T/F I and II (2x160 MVA),State,220/132,UPPTCL,320.0,AUG-19,2019-20
Mandola Vihar (New) ICT-II and III (2x60 MVA),State,220/33,UPPTCL,120.0,AUG-19,2019-20
Mohana s/s (Aug),State,220/33,HVPNL,100.0,AUG-19,2019-20
Jagdalpur,State,220/132,CSPTCL,160.0,AUG-19,2019-20
Samalkha s/s (Aug),State,220/132,HVPNL,160.0,AUG-19,2019-20
Hingoli s/s (Additional T/F),State,220/132,MSETCL,100.0,AUG-19,2019-20
Kalwan s/s (Additional T/F),State,220/132,MSETCL,100.0,AUG-19,2019-20
Cantt Prayagraj (Aug.) (200-160),State,220/33,UPPTCL,40.0,SEP-19,2019-20
Ammavaripalli S/S,State,220/33,APTRANSCO,150.0,SEP-19,2019-20
220kV Dhanagadhra (Aug.),State,220/66,GETCO,60.0,SEP-19,2019-20
220kV Nakhatrana (Aug.),State,220/66,GETCO,60.0,SEP-19,2019-20
220 kV Sachin (Talangpore) (Aug.),State,220/66,GETCO,60.0,SEP-19,2019-20
GIS Sector -46 Faridabad S/s,State,220/66,HVPNL,320.0,SEP-19,2019-20
Batta (Aug.),State,220/132,HVPNL,100.0,SEP-19,2019-20
Lula Ahir (Aug.),State,220/132,HVPNL,100.0,SEP-19,2019-20
Unispur (Aug.),State,220/132,HVPNL,160.0,SEP-19,2019-20
Nuna Majra (Aug.),State,220/33,HVPNL,100.0,SEP-19,2019-20
Ner S/S (T/F-II),State,220/33,MSETCL,25.0,SEP-19,2019-20
Bommuru S/S in East Godavari District (Aug.),State,220/132,APTRANSCO,60.0,SEP-19,2019-20
Ongole S/S in Prakasam District (Aug.),State,220/132,APTRANSCO,60.0,SEP-19,2019-20
Rachaunneri S/S in Chittoor District (Aug.),State,220/132,APTRANSCO,60.0,SEP-19,2019-20
220 kV Limbdi (Aug),State,220/132,GETCO,50.0,SEP-19,2019-20
Koppal S/S,State,220/110,KPTCL,200.0,SEP-19,2019-20
Pratap Vihar Ghaziabad (New) T/F-I,State,220/33,UPPTCL,60.0,OCT-19,2019-20
Dahi Chowki Unnao (New) T/F-II,State,220/33,UPPTCL,60.0,OCT-19,2019-20
Narayanpur s/s,State,220/132,CSPTCL,160.0,OCT-19,2019-20
Maihar (Addl T/F),State,220/132,MPPTCL,160.0,OCT-19,2019-20
Sector-85 Gurugram,State,220/33,HVPNL,100.0,OCT-19,2019-20
Dherdehi (Bilaspur) s/s,State,220/132,CSPTCL,320.0,OCT-19,2019-20
C. B. Ganj Bareilly (Aug) T/F -II (200-160),State,220/132,UPPTCL,40.0,OCT-19,2019-20
Rejinagar S/S,State,220/132,WBSETCL,320.0,OCT-19,2019-20
ITI S/S,State,220/66,KPTCL,300.0,OCT-19,2019-20
Sultanpur Lodhi (Addl T/F),State,220/66,PSTCL,100.0,NOV-19,2019-20
Kukumara S/S (2x50),State,220/132,AEGCL,100.0,NOV-19,2019-20
Rangia S/S (2x100),State,220/132,AEGCL,200.0,NOV-19,2019-20
Sonapur (2x100),State,220/132,AEGCL,200.0,NOV-19,2019-20
Sector -65 GIS Gurgaon S/s,State,220/132,HVPNL,200.0,NOV-19,2019-20
Jaora (Upgradation) (GEC-I),State,220/132,MPPTCL,160.0,NOV-19,2019-20
Karanja s/s,State,220/132,MSETCL,200.0,NOV-19,2019-20
Bharthana Etawah (Aug) (Additional T/F),State,220/132,UPPTCL,160.0,NOV-19,2019-20
Muradnagar-II (Aug) T/F-I,State,220/132,UPPTCL,100.0,NOV-19,2019-20
Sec-20 Noida (Aug) (Additional T/F),State,220/132,UPPTCL,160.0,NOV-19,2019-20
Govindpur GSS (PGCIL),State,220/132/33,JUSNL,400.0,NOV-19,2019-20
Badnagar (Additional T/F),State,220/33,MPPTCL,50.0,NOV-19,2019-20
Barsitadesh Rewa Pooling S/s,State,220/33,MPPTCL,300.0,NOV-19,2019-20
Sagar (Additional T/F),State,220/33,MPPTCL,50.0,NOV-19,2019-20
Sicom (Additional T/F),State,220/33,MSETCL,25.0,NOV-19,2019-20
Phoolbagh Kanpur (New) T/F-I,State,220/33,UPPTCL,60.0,NOV-19,2019-20
Sikandrabad Bulandshahr (Aug) T/-I,State,220/33,UPPTCL,60.0,NOV-19,2019-20
Charanka s/s (8x100 MVA) T/F 6-7 and 8,State,220/66,GETCO,300.0,NOV-19,2019-20
Suva s/s,State,220/66,GETCO,200.0,NOV-19,2019-20
Vondh s/s,State,220/66,GETCO,200.0,NOV-19,2019-20
Vyankatpura s/s,State,220/66,GETCO,200.0,NOV-19,2019-20
Nani Hamirpur S/S,State,220/11,GETCO,50.0,NOV-19,2019-20
Sailana (GEC-I),State,220/132,MPPTCL,160.0,DEC-19,2019-20
Pilibhit T/F-I (Aug.)(160 -100),State,220/132,UPPTCL,60.0,DEC-19,2019-20
Saharanpur (Aug.) (200-160),State,220/132,UPPTCL,40.0,DEC-19,2019-20
Sarojininagar Lucknow (Aug) T/F-II (200-160),State,220/132,UPPTCL,40.0,DEC-19,2019-20
Sector 52A Gurugram,State,220/66,HVPNL,160.0,DEC-19,2019-20
Prayagraj Cantt (Aug.) T/F-II (200-160),State,220/66,UPPTCL,40.0,DEC-19,2019-20
Gudgaon (GEC-I),State,220/132,MPPTCL,160.0,DEC-19,2019-20
Jetpur (Aug) (1x160 2x100) - (3x100),State,220/66,GETCO,60.0,JAN-20,2019-20
Jamla (Aug) (1x160 2x100 1x50) - (2x100 1x50),State,220/66,GETCO,160.0,JAN-20,2019-20
Morena S/s (Addl. X-mer),State,220/132,MPPTCL,160.0,JAN-20,2019-20
Wangtoo (2x100 MVA T/F of 220/66 kV),State,220/66,HPPTCL,200.0,JAN-20,2019-20
Vallabhipur (Aug) (1x160 2x100) - (2x100),State,220/66,GETCO,160.0,JAN-20,2019-20
Vadavi (Aug) (1x160 3x100) - (3x100),State,220/66,GETCO,160.0,JAN-20,2019-20
Otha (Aug) (1x160 2x100) - (2x100),State,220/66,GETCO,160.0,JAN-20,2019-20
Motigop T/F-II,State,220/66,GETCO,160.0,JAN-20,2019-20
Morbi (Aug) (2x160 2x100) - (1x160 3x100),State,220/66,GETCO,60.0,JAN-20,2019-20
Uppalwadi (220/33 kV 50 MVA T/F),State,220/33,MSETCL,50.0,JAN-20,2019-20
Chardava (Aug) (1x160 2x100) - (2x100),State,220/22,GETCO,160.0,JAN-20,2019-20
Narangwadi (100 MVA ICT-II and 25 MVA 220/33 kV T/F-III),State,220/132/33,MSETCL,150.0,JAN-20,2019-20
Karanja (1x25 MVA 220/33 kV T/F),State,220/132/33,MSETCL,25.0,JAN-20,2019-20
Unnao (Aug) T/F-II (160-100),State,220/132,UPPTCL,60.0,JAN-20,2019-20
Rewa Road Prayagraj (Aug) T/F-II (200-160),State,220/132,UPPTCL,40.0,JAN-20,2019-20
Pratap Vihar Ghaziabad (New) T/F-I,State,220/132,UPPTCL,160.0,JAN-20,2019-20
Muradnagar-II (Aug) T/F-II,State,220/132,UPPTCL,100.0,JAN-20,2019-20
Kursi Road (Aug) (Additional T/F),State,220/132,UPPTCL,160.0,JAN-20,2019-20
Jhunsi Prayagraj (Aug) T/F-II (200-160),State,220/132,UPPTCL,40.0,JAN-20,2019-20
Hathras (Aug) T/F-II (200-160),State,220/132,UPPTCL,40.0,JAN-20,2019-20
Gonda (Aug) T/F-I (200-160),State,220/132,UPPTCL,40.0,JAN-20,2019-20
Deoria (Aug) T/F-II (160-100),State,220/132,UPPTCL,60.0,JAN-20,2019-20
Banda (Aug) T/F-II (200-160),State,220/132,UPPTCL,40.0,JAN-20,2019-20
Jaypatna T/F-II,State,220/132,OPTCL,160.0,JAN-20,2019-20
Up-gradation of existing 132 kV Pandharkawda substation to 220 kV level,State,220/132,MSETCL,100.0,JAN-20,2019-20
Georai S/S (ICT-II),State,220/132,MSETCL,100.0,JAN-20,2019-20
Satna S/s (Addl. X-mer),State,220/132,MPPTCL,160.0,JAN-20,2019-20
Malanpur S/s (Addl. X-mer),State,220/132,MPPTCL,160.0,JAN-20,2019-20
Jaora S/s (Balance 2nd X-mer)),State,220/132,MPPTCL,160.0,JAN-20,2019-20
Azamgarh (Aug. T/F-I (200-160),State,220/132,UPPTCL,40.0,FEB-20,2019-20
Bolangir S/S,State,220/132,OPTCL,160.0,FEB-20,2019-20
Sheopurkalan (1st unit),State,220/132,MPPTCL,160.0,FEB-20,2019-20
Sailana (2nd Unit),State,220/132,MPPTCL,160.0,FEB-20,2019-20
Alusteng S/S,State,220/132,JKPDD,320.0,FEB-20,2019-20
Mehna Khera S/s,State,220/132,HVPNL,100.0,FEB-20,2019-20
Chhajpur (Addl.),State,220/132,HVPNL,100.0,FEB-20,2019-20
Sector -85 Gurugram (2nd T/F),State,220/33,HVPNL,100.0,FEB-20,2019-20
Naganathapura (Aug.) (T/F-I),State,220/66,KPTCL,100.0,FEB-20,2019-20
Ashta (Addl T/F),State,220/33,MPPTCL,50.0,FEB-20,2019-20
Morti Ghaziabad (Aug.) T/F-II,State,220/132,UPPTCL,160.0,FEB-20,2019-20
Gola Gorakhpur (New) T/F-II,State,220/132,UPPTCL,160.0,FEB-20,2019-20
Bahraich (Aug.) T/F,State,220/132,UPPTCL,160.0,FEB-20,2019-20
Mitha (Aug) (100-50),State,220/66,GETCO,50.0,MAR-20,2019-20
Bhutiya (Aug) (3x100 - 2x100),State,220/66,GETCO,100.0,MAR-20,2019-20
Brindavan Alloys,State,220/66,KPTCL,300.0,MAR-20,2019-20
Timbdi(Aug) (100-50),State,220/66,GETCO,50.0,MAR-20,2019-20
Vijapur (Aug) (1x160),State,220/66,GETCO,160.0,MAR-20,2019-20
Chandrapura (Aug) (160-50),State,220/66,GETCO,110.0,MAR-20,2019-20
Dhuvaran (Aug) (100-50),State,220/132,GETCO,50.0,MAR-20,2019-20
Sankhari (Aug) (100-50),State,220/66,GETCO,50.0,MAR-20,2019-20
Raigarh and Pugalur Station with 6000 MW HVDC Terminal (Pole-II),Central,800,PGCIL,1500.0,MAR-21,2020-21
Raigarh and Pugalur Station with 6000 MW HVDC Terminal (Pole-I),Central,800,PGCIL,1500.0,SEP-20,2020-21
Tehri PS (GIS) (3 ICTs),Central,765/400,PGCIL,2400.0,APR-20,2020-21
Medinipur S/s (PM-JTL -TBCB),Central,765/400,PGCIL,3000.0,FEB-21,2020-21
Tehri Pooling Station (GIS) (4th ICT),Central,765/400,PGCIL,800.0,JAN-21,2020-21
Extn at Meerut substation,Central,765/400,PGCIL,1500.0,JUN-20,2020-21
Extn. at Bhadla S/s (ICT-I),Central,400/220,PGCIL,500.0,DEC-20,2020-21
Extn. at Rourkela S/s (ICT-I),Central,400/220,PGCIL,315.0,DEC-20,2020-21
New Mariani S/s (ICT-I),Central,400/220,PGCIL,500.0,DEC-20,2020-21
DSTPS ICT-II S/s,Central,400/220,DVC,315.0,FEB-21,2020-21
Extn. at Rourkela S/stn. (ICT-II),Central,400/220,PGCIL,315.0,FEB-21,2020-21
Extan. at Maithon,Central,400/220,PGCIL,500.0,JUL-20,2020-21
North Trichur Substation,Central,400/220,PGCIL,630.0,MAR-21,2020-21
Aug. at Gajuwaka (T/F),Central,400/220,PGCIL,500.0,MAR-21,2020-21
Repl of 400/220kV Malda S/s (3x315-2x500),Central,400/220,PGCIL,185.0,MAR-21,2020-21
Chandauti S/S (ERSS-XXITL-TBCB),Central,400/220,PGCIL,1500.0,MAR-21,2020-21
Extn. at Fatehpur S/S,Central,400/220,PGCIL,500.0,MAR-21,2020-21
Extn. at Saharanpur S/S,Central,400/220,PGCIL,500.0,MAR-21,2020-21
Mariani New (ICT-II) extn,Central,400/220,PGCIL,500.0,MAR-21,2020-21
Extension at Amritsar (Balachak) PG Substation,Central,400/220,PGCIL,500.0,OCT-20,2020-21
Banaskantha s/s,Central,400/220,PGCIL,1000.0,SEP-20,2020-21
Augmentation at Bhuj S/S (3rd ICT),Central,400/220,PGCIL,500.0,SEP-20,2020-21
Pugalur (2000 MW) and Terminal at North Trichur (2000 MW) VSC based HVDC Station (Monopole-II),Central,320,PGCIL,1000.0,MAR-21,2020-21
Repl. of 1x50 MVA to 1x160 MVA at Balipara S/stn.(ICT-II),Central,220/132,PGCIL,110.0,APR-20,2020-21
DSTPS,Central,220/132,DVC,160.0,FEB-21,2020-21
Chandauti Sub station (ERSS-XXITL-TBCB),Central,220/132,PGCIL,600.0,MAR-21,2020-21
Podili (3rd ICT)),State,400/220,APTRANSCO,315.0,DEC-20,2020-21
Kurud (Dhamtari) (T/F-II),State,400/220,CSPTCL,315.0,DEC-20,2020-21
Rachaganneri (T/F-II),State,400/220/132,APTRANSCO,315.0,DEC-20,2020-21
Muzaffarnagar (Additional T/F),State,400/220,UPPTCL,500.0,DEC-20,2020-21
Ujjain 400 KV sub-station (T/F-I),State,400/220,MPPTCL,315.0,FEB-21,2020-21
Firozabad S/s,State,400/220,UPPTCL,1000.0,FEB-21,2020-21
Maradam (Addl ICT),State,400/220,APTRANSCO,500.0,JAN-21,2020-21
Gr. Noida G.B. Nagar (Additional T/F),State,400/132,UPPTCL,200.0,JUL-20,2020-21
Bhachunda GIS (Dist. Kutch) (T/F-I),State,400/220,GETCO,500.0,MAR-21,2020-21
Thoubal S/S,State,400/132,"ED, Manipur",315.0,MAR-21,2020-21
Chakan (Addl-ICT),State,400/220,MSETCL,315.0,MAR-21,2020-21
Pithampur 400kV S/S (Addl. X-mer),State,400/220,MPPTCL,315.0,MAR-21,2020-21
Mandsaur (Sitamau) (GEC-I),State,400/220,MPPTCL,630.0,MAR-21,2020-21
Mandsaur (Addl T/F),State,400/220,MPPTCL,160.0,MAR-21,2020-21
Mylasandra GIS (Near Electronic city),State,400/220,KPTCL,1500.0,MAR-21,2020-21
Pachcham (Transformer-I),State,400/220,GETCO,500.0,MAR-21,2020-21
Gumma S/S,State,400/220,HPPTCL,315.0,NOV-20,2020-21
Rachaganneri (T/F-I),State,400/220/132,APTRANSCO,315.0,NOV-20,2020-21
Podili (2nd ICT)),State,400/220,APTRANSCO,315.0,NOV-20,2020-21
Kurud (Dhamtari) (T/F-I),State,400/220,CSPTCL,315.0,NOV-20,2020-21
Lahal S/S,State,400/220,HPPTCL,630.0,NOV-20,2020-21
Sector-123 Noida New T/F- I and II,State,400/132,UPPTCL,400.0,OCT-20,2020-21
Devanahalli (Hardware Park),State,400/220,KPTCL,1000.0,SEP-20,2020-21
Karamadai (3rd Auto T/F),State,230/110,TANTRANSCO,100.0,AUG-20,2020-21
Singarapet,State,230/110,TANTRANSCO,100.0,FEB-21,2020-21
Shenbagapudur,State,230/110,TANTRANSCO,200.0,FEB-21,2020-21
Karaikudi (Enhancement from 50 MVA to 100 MVA),State,230/110,TANTRANSCO,50.0,JAN-21,2020-21
Sankarapuram S/S,State,230/110,TANTRANSCO,100.0,JUL-20,2020-21
Tirupur (JICA),State,230/110,TANTRANSCO,100.0,JUN-20,2020-21
Villupuram (2x100 to 2x160) (GEC-I),State,230/110,TANTRANSCO,60.0,MAR-21,2020-21
Samayanallur S/S,State,230/110,TANTRANSCO,200.0,OCT-20,2020-21
Sultanpur Lodhi (T/F),State,220/66,PSTCL,100.0,APR-20,2020-21
Neemwala S/s,State,220/132,HVPNL,100.0,AUG-20,2020-21
Bagalkot (Addl T/F),State,220/110,KPTCL,100.0,AUG-20,2020-21
Vrindawan Mathura (New) T/F-I,State,220/132,UPPTCL,160.0,AUG-20,2020-21
Mehna Khera (T/F-II),State,220/132,HVPNL,100.0,AUG-20,2020-21
Mehna Khera (T/F-III),State,220/132,HVPNL,100.0,AUG-20,2020-21
Neemwala,State,220/33,HVPNL,100.0,AUG-20,2020-21
Partapur Meerut (Aug) T/F-III,State,220/132,UPPTCL,160.0,AUG-20,2020-21
Madhuvan Bapudham Ghaziabad (Aug) T/F-II,State,220/132,UPPTCL,160.0,AUG-20,2020-21
Sheopur (2nd T/F),State,220/132,MPPTCL,160.0,AUG-20,2020-21
Jasidih S/S,State,220/132,JUSNL,300.0,AUG-20,2020-21
Godda GSS,State,220/132,JUSNL,300.0,AUG-20,2020-21
Giridih S/S,State,220/132,JUSNL,300.0,AUG-20,2020-21
Garhwa,State,220/132,JUSNL,300.0,AUG-20,2020-21
Ratangarh (T/F-II),State,220/132,MPPTCL,160.0,DEC-20,2020-21
Chalakudy S/S,State,220/110,KSEB,200.0,DEC-20,2020-21
Kaloor (T/F-I),State,220/110,KSEB,160.0,DEC-20,2020-21
Badhaikala Muzaffarnagar (New) T/F- I,State,220/132,UPPTCL,160.0,DEC-20,2020-21
Charla Meerut (Additional T/F),State,220/132,UPPTCL,100.0,DEC-20,2020-21
Madhuvan Bapudham Ghaziabad (New) T/F-II,State,220/132,UPPTCL,60.0,DEC-20,2020-21
Motigop S/S,State,220/66,GETCO,160.0,DEC-20,2020-21
Virpore S/s,State,220/66,GETCO,160.0,DEC-20,2020-21
Simhachalam,State,220/132,APTRANSCO,200.0,FEB-21,2020-21
RS Gooty at Anantapuram District (Aug.),State,220/132,APTRANSCO,60.0,FEB-21,2020-21
Nuziveedu at Guntur Dist. (Aug),State,220/132,APTRANSCO,60.0,FEB-21,2020-21
Kamavarapukota at West Godavarai District (Aug.),State,220/132,APTRANSCO,160.0,FEB-21,2020-21
Bhenda S/s (Addl T/F) (220/132/33kV),State,220/33,MSETCL,50.0,FEB-21,2020-21
Selavadar (Talaja),State,220/66,GETCO,160.0,FEB-21,2020-21
Delina (Augmentation ),State,220/132,JKPDD,160.0,FEB-21,2020-21
Aluva,State,220/110,KSEB,400.0,FEB-21,2020-21
Tadikonda at (Guntur District (Aug)),State,220/132,APTRANSCO,50.0,FEB-21,2020-21
Kaloor (T/F-II),State,220/110,KSEB,160.0,JAN-21,2020-21
Sukha (Jabalpur) (Addl. T/F-I),State,220/33,MPPTCL,50.0,JAN-21,2020-21
Somanahalli T/F-II Aug (1x150 - 1x100),State,220/66,KPTCL,50.0,JAN-21,2020-21
Thallak (Aug),State,220/66,KPTCL,100.0,JAN-21,2020-21
Batta (Aug),State,220/33,HVPNL,100.0,JAN-21,2020-21
Chikkodi (Aug),State,220/110,KPTCL,100.0,JAN-21,2020-21
Manmad Sub-Station (Up-Gradation ),State,220/132,MSETCL,200.0,JUL-20,2020-21
Rupkheda (Zalod),State,220/132,GETCO,300.0,JUL-20,2020-21
Upgradation of Chapda 132Kv S/s to 220kv with 1x160MVA,State,220/132,MPPTCL,160.0,JUL-20,2020-21
Maath (Aug) T/F-II,State,220/132,UPPTCL,160.0,JUL-20,2020-21
Madhuvan Bapudham (New) T/F-I,State,220/132,UPPTCL,160.0,JUL-20,2020-21
Sarsawa (Saharanpur) (ICT-II) S/S,State,220/132,UPPTCL,160.0,JUL-20,2020-21
Sultanpur (Aug) (Additional T/F),State,220/132,UPPTCL,160.0,JUL-20,2020-21
Joda S/S,State,220/132/33,OPTCL,160.0,JUL-20,2020-21
Barejdi S/s,State,220/66,GETCO,160.0,JUL-20,2020-21
Rupkheda (Zalod) S/s,State,220/66,GETCO,160.0,JUL-20,2020-21
Begur,State,220/66,KPTCL,200.0,JUL-20,2020-21
Adampur,State,220/33,MPPTCL,50.0,JUN-20,2020-21
Sarita Vihar (Replacement) (160-100),State,220/66,DTL,60.0,JUN-20,2020-21
Temghar Replacement T/F (50 MVA replaced by 80 MVA),State,220/22,MSETCL,30.0,JUN-20,2020-21
Bahraich T/F-II (Aug.),State,220/132,UPPTCL,160.0,JUN-20,2020-21
IMT Manesar Gurugram Sector -1,State,220/66,HVPNL,100.0,JUN-20,2020-21
Barahua T/F-I (Aug.) (200-100),State,220/132,UPPTCL,100.0,JUN-20,2020-21
Noida Sector-148 T/F-II (Aug.),State,220/132,UPPTCL,100.0,JUN-20,2020-21
Pratap Vihar T/F (Aug.),State,220/132,UPPTCL,100.0,JUN-20,2020-21
Upgration of Depalpur 132 Kv S/s 220kv with 1x160MVA,State,220/132,MPPTCL,160.0,JUN-20,2020-21
Nanauta T/F (Aug.),State,220/33,UPPTCL,60.0,JUN-20,2020-21
Pandharpur Replacement ICT T/F,State,220/33,MSETCL,50.0,MAR-21,2020-21
Pydibhimavaram S/S,State,220/132,APTRANSCO,300.0,MAR-21,2020-21
Tirumalayapalli,State,220/132,APTRANSCO,300.0,MAR-21,2020-21
Dumraon (GIS) ICT-I and II,State,220/132,BSPTCL,320.0,MAR-21,2020-21
Khagaria New ICT-I,State,220/132,BSPTCL,160.0,MAR-21,2020-21
DSIIDC Bawana,State,220/66,DTL,160.0,MAR-21,2020-21
Pachcham (T/F-I),State,220/66,GETCO,160.0,MAR-21,2020-21
Wankaner S/S (Dist. Rajkot) (GEC-I) (3x160 MVA),State,220/66,GETCO,480.0,MAR-21,2020-21
T. Gollahalli (Thimmansandra) S/S,State,220/66,KPTCL,200.0,MAR-21,2020-21
Upgradation of the existing 220/11KV Lift Irrigation S/S to Ramavaram at East Godavari District,State,220/132/33,APTRANSCO,200.0,MAR-21,2020-21
Rania Kanpur (T/F aug),State,220/132,UPPTCL,100.0,MAR-21,2020-21
Nirpura S/s Baghpat,State,220/132,UPPTCL,160.0,MAR-21,2020-21
Banswada,State,220/132,TSTRANSCO,200.0,MAR-21,2020-21
Indore S/s (Addl T/F),State,220/132,MPPTCL,160.0,MAR-21,2020-21
Sikarai (Aug),State,220/132,RVPNL,100.0,MAR-21,2020-21
Nalkheda (T/F-I) (Susner) (GEC),State,220/132,MPPTCL,160.0,MAR-21,2020-21
Kanasar ICT-II,State,220/132,RVPNL,160.0,MAR-21,2020-21
Chhatargarh GSS (Upgradation) (GEC-I),State,220/132,RVPNL,160.0,MAR-21,2020-21
Akal (Aug),State,220/132,RVPNL,500.0,MAR-21,2020-21
Panagar (Addl T/F),State,220/132,MPPTCL,160.0,MAR-21,2020-21
Jaffarpur S/S,State,220/33,PTCUL,100.0,MAR-21,2020-21
Heggunje (Mandarthi) S/S,State,220/110,KPTCL,200.0,MAR-21,2020-21
Mughalkod S/S (GEC-I),State,220/110,KPTCL,200.0,MAR-21,2020-21
Chakrayapet,State,220/132,APTRANSCO,200.0,MAR-21,2020-21
Gollapuram,State,220/132,APTRANSCO,200.0,MAR-21,2020-21
Baja Khanna (Aug. of 100 MVA T/F with 160 MVA ,State,220/66,PSTCL,60.0,MAY-20,2020-21
Ferozepur road Ludhiana (Aug. of 100 MVA T/F with 160 MVA T/F),State,220/66,PSTCL,60.0,MAY-20,2020-21
Maur (Addl. T/F),State,220/66,PSTCL,100.0,MAY-20,2020-21
Gurugram Sector-95 (T/F-II),State,220/33,HVPNL,100.0,MAY-20,2020-21
Goda S/S,State,220/132/33,OPTCL,320.0,MAY-20,2020-21
Shahjahanpur (T/F-II),State,220/132,UPPTCL,160.0,MAY-20,2020-21
Ratangarh (GEC-I),State,220/132,MPPTCL,160.0,MAY-20,2020-21
Kudligi (Badeladaku) S/S,State,220/66,KPTCL,200.0,MAY-20,2020-21
Bangan (Addl. T/F),State,220/66,PSTCL,100.0,MAY-20,2020-21
Govindpalli,State,220/33,OPTCL,40.0,NOV-20,2020-21
Rajokheri (T/F-I),State,220/66,HVPNL,160.0,NOV-20,2020-21
Babara (Dist. Amreli) S/S,State,220/66,GETCO,320.0,NOV-20,2020-21
Bakana (T/F-I),State,220/66,HVPNL,160.0,NOV-20,2020-21
Kasganj (New) T/F- I,State,220/132,UPPTCL,160.0,NOV-20,2020-21
Hata Kushinagar T/F- II ( Augmentation),State,220/132,UPPTCL,100.0,NOV-20,2020-21
Aklera (Dist. Jhalawar),State,220/132,RVPNL,160.0,NOV-20,2020-21
Kesinga (2nd Auto T/F),State,220/132,OPTCL,160.0,NOV-20,2020-21
